diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1168,FERNANDEZ,RODOLFO ALFREDO,M,CORRIENTES,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,UCR,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN2377,Fernández,Carlos Alberto,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,UCR,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN0991,FERNANDEZ BASUALDO,LUIS MARIA,M,FORMOSA,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2010-10-19T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2010-10-19T00:00:00
HCDN1436,FERNANDEZ BLANCO,MARIA CRISTINA,F,JUJUY,2011-12-10T00:00:00,2015-12-09T00:00:00,2015-07-15T00:00:00,2015-12-09T00:00:00,UCR,2015-07-15T00:00:00,2015-12-09T00:00:00
HCDN2375,Fernández Langan,Ezequiel,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,PRO,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN1378,FERNANDEZ MENDIA,GUSTAVO RODOLFO,M,LA PAMPA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,PARTIDO JUSTICIALISTA LA PAMPA,2013-12-10T00:00:00,2015-12-09T00:00:00
HCDN1378,FERNANDEZ MENDIA,GUSTAVO RODOLFO,M,LA PAMPA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,PARTIDO JUSTICIALISTA PAMPEANO,2015-12-10T00:00:00,2016-02-03T00:00:00
HCDN1378,FERNANDEZ MENDIA,GUSTAVO RODOLFO,M,LA PAMPA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,JUSTICIALISTA,2016-02-04T00:00:00,2017-12-09T00:00:00
HCDN2376,Fernández Patri,Gustavo Ramiro,M,FORMOSA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN2376,Fernández Patri,Gustavo Ramiro,M,FORMOSA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2021-12-09T00:00:00
HCDN1259,FERNANDEZ SAGASTI,ANABEL,F,MENDOZA,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
